Subject_ID,Model_1_Actual_MI_Accuracy_Pct,Model_2_GCN_Predicted_MI_Accuracy_Pct,GCN_Absolute_Error_Pct,GCN_Residual_Pct,RF_Predicted_Accuracy_Pct,RF_Absolute_Error_Pct,XGB_Predicted_Accuracy_Pct,XGB_Absolute_Error_Pct,Prediction_Accuracy_Tier
S001,62.15,49.36,12.8,-12.8,51.73,10.43,50.08,12.08,Moderate (10% - 15% gap)
S002,53.16,65.14,11.98,11.98,68.09,14.93,70.26,17.1,Moderate (10% - 15% gap)
S003,62.06,58.83,3.22,-3.22,56.39,5.66,56.81,5.24,High Precision (<= 5% gap)
S004,53.56,52.39,1.17,-1.17,56.96,3.4,62.22,8.67,High Precision (<= 5% gap)
S005,46.73,50.43,3.71,3.71,53.65,6.93,48.97,2.24,High Precision (<= 5% gap)
S006,41.67,56.99,15.33,15.33,53.77,12.11,48.66,7.0,High Discrepancy (> 15% gap)
S007,88.83,45.45,43.38,-43.38,62.73,26.1,60.56,28.27,High Discrepancy (> 15% gap)
S008,57.61,58.37,0.76,0.76,55.94,1.67,57.72,0.11,High Precision (<= 5% gap)
S009,68.75,35.59,33.16,-33.16,69.33,0.58,72.1,3.35,High Discrepancy (> 15% gap)
S010,28.87,53.04,24.17,24.17,51.55,22.68,48.57,19.7,High Discrepancy (> 15% gap)
S011,46.74,56.02,9.28,9.28,58.84,12.1,60.67,13.93,Good (5% - 10% gap)
S012,48.21,46.48,1.73,-1.73,52.73,4.52,53.59,5.37,High Precision (<= 5% gap)
S013,29.05,45.14,16.09,16.09,51.15,22.1,51.53,22.48,High Discrepancy (> 15% gap)
S014,57.81,58.83,1.02,1.02,55.05,2.76,51.03,6.77,High Precision (<= 5% gap)
S015,57.81,60.71,2.9,2.9,60.27,2.47,55.29,2.52,High Precision (<= 5% gap)
S016,48.72,60.02,11.3,11.3,60.19,11.48,55.81,7.09,Moderate (10% - 15% gap)
S017,42.29,60.28,17.99,17.99,57.81,15.52,57.15,14.86,High Discrepancy (> 15% gap)
S018,46.64,65.43,18.79,18.79,57.62,10.98,54.89,8.25,High Discrepancy (> 15% gap)
S019,48.91,50.84,1.93,1.93,47.52,1.39,51.64,2.72,High Precision (<= 5% gap)
S020,51.09,50.08,1.01,-1.01,51.82,0.74,48.41,2.68,High Precision (<= 5% gap)
S021,61.9,67.58,5.67,5.67,57.71,4.19,53.53,8.38,Good (5% - 10% gap)
S022,95.55,101.96,6.4,6.4,71.06,24.49,72.5,23.05,Good (5% - 10% gap)
S023,62.35,59.35,3.0,-3.0,56.67,5.68,64.69,2.33,High Precision (<= 5% gap)
S024,55.53,48.56,6.97,-6.97,53.09,2.44,48.39,7.14,Good (5% - 10% gap)
S025,44.66,67.75,23.09,23.09,60.9,16.24,66.56,21.89,High Discrepancy (> 15% gap)
S026,46.13,51.91,5.78,5.78,53.82,7.69,51.42,5.29,Good (5% - 10% gap)
S027,46.74,60.05,13.31,13.31,56.59,9.85,58.42,11.68,Moderate (10% - 15% gap)
S028,50.79,47.54,3.25,-3.25,54.46,3.67,60.7,9.91,High Precision (<= 5% gap)
S029,93.38,64.33,29.05,-29.05,59.66,33.72,51.92,41.46,High Discrepancy (> 15% gap)
S030,60.42,62.92,2.5,2.5,60.72,0.31,60.53,0.11,High Precision (<= 5% gap)
S031,48.91,58.22,9.3,9.3,53.42,4.5,48.77,0.14,Good (5% - 10% gap)
S032,56.85,72.2,15.35,15.35,51.96,4.89,48.77,8.07,High Discrepancy (> 15% gap)
S033,66.4,58.52,7.88,-7.88,54.06,12.34,56.59,9.81,Good (5% - 10% gap)
S034,69.7,57.5,12.19,-12.19,53.66,16.04,58.44,11.26,Moderate (10% - 15% gap)
S035,53.16,54.15,0.99,0.99,62.34,9.18,57.4,4.24,High Precision (<= 5% gap)
S036,53.56,53.58,0.02,0.02,47.8,5.76,54.27,0.71,High Precision (<= 5% gap)
